DDL_NAME|ENTITY_NAME|ELEMENT_NAME|BASE_OBJECT|BASE_FIELD|IS_CALCULATED
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALSERVICESBRANCH|ACDOCA|BRANCH_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALSERVICESPRODUCTGROUP|ACDOCA|FS_PRODUCT_GROUP|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALTRANSACTIONTYPE|ACDOCA|RMVCT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALVALUATIONOBJECT|ACDOCA|VALOBJ_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALVALUATIONOBJECTTYPE|ACDOCA|VALOBJTYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FINANCIALVALUATIONSUBOBJECT|ACDOCA|VALSOBJ_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FISCALPERIOD|ACDOCA|POPER|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FISCALYEAR|ACDOCA|GJAHR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FISCALYEARPERIOD|ACDOCA|FISCYEARPER|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FISCALYEARVARIANT|ACDOCA|PERIV|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDAMOUNTINCOCODECRCY|P_ACDOCA|HFSL|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDAMOUNTINGLOBALCRCY|ACDOCA|KFSL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDAMOUNTINTRANSCRCY|P_ACDOCA|WFSL|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDASSET|ACDOCA|ANLN2|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDPRICEVARCINGLOBALCRCY|ACDOCA|PFSL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FIXEDQUANTITY|ACDOCA|MFSL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FOLLOWONDOCUMENTTYPE|ACDOCA|REBZT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY1|ACDOCA|ROCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY2|ACDOCA|RVCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY3|ACDOCA|RBCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY4|ACDOCA|RCCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY5|ACDOCA|RDCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY6|ACDOCA|RECUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY7|ACDOCA|RFCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FREEDEFINEDCURRENCY8|ACDOCA|RGCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUNCTIONALAREA|ACDOCA|RFAREA|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUNCTIONALCURRENCY|ACDOCA|RFCCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUNCTIONALLOCATION|ACDOCA|TPLNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUND|ACDOCA|RFUND|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUNDEDPROGRAM|ACDOCA|MEASURE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|FUNDSCENTER|ACDOCA|FISTL|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GENERALLEDGERAGINGINCREMENT|ACDOCA|AGING_INCRMNT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GENERALLEDGERAGINGSCOPE|ACDOCA|AGING|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLACCOUNT|ACDOCA|RACCT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLACCOUNTAUTHORIZATIONGROUP|I_GLACCOUNTLINEITEM|GLACCOUNTAUTHORIZATIONGROUP|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLACCOUNTTYPE|ACDOCA|GLACCOUNT_TYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLBUSINESSTRANSACTIONTYPE|ACDOCA|VORGN|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLOBALCURRENCY|ACDOCA|RKCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GLRECORDTYPE|ACDOCA|RRCTY|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GRANTCURRENCY|ACDOCA|RGM_OCUR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GRANTID|ACDOCA|RGRANT_NBR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GROUPFIXEDASSET|ACDOCA|ANLGR2|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|GROUPMASTERFIXEDASSET|ACDOCA|ANLGR|
