02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40
	500	IN	68	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194C- INV CONT OTHER THAN INDIVIDUAL/HUF
	500	IN	69	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194C-TPT CON.OT TH.IND./HUFIFPANNOTQUOTE
	500	IN	6C	    061	0			00		2	X	1				    016		2	2						X	X					X							194C-Inv-Contractors(Non-Corp)-EDU CESS
	500	IN	70	    000	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194C-(ADV) OTHER THAN INDIVIDUAL/HUF
	500	IN	71	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194H-(INV) COMMISSION OR BROKERAGE
	500	IN	72	    104	0			01		1	X	1				    000		2	2						X	X				TTB								194H-(INV) COMMISSION OR BROKERAGE
	500	IN	73	    000	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194C-(ADV) COMMISSION OR BROKERAGE
	500	IN	74	    105	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194C-(ADV) COMMISSION OR BROKERAGE
	500	IN	75	    000	0			01		2	X	1				    000		2	2						X	X				TTB								194I -(INV) RENT OF P&M AND EQPT
	500	IN	76	    111	0			01		2	X	1				    000		2	2						X	X				TTB								194IA Immovble Prpt.excl Agri Land NCorp
	500	IN	77	    110	0			01		2	X	1				    000		2	2						X	X				TTB								194IA Immovble Prpt.excl Agri Land Corp
	500	IN	78	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194-I(INV)RENT OTHER THAN P&M AND EQPT
	500	IN	79	    107	0			01		1	X	1				    000		2	2						X	X				TTB								194-I(INV)RENT OTHER THAN P&M AND EQPT
	500	IN	7C	    062	0			00		2	X	1				    017		2	2						X	X					X							194C-Inv-Sub Contractor(Non-Corp)-E CESS
	500	IN	80	    000	0			01		1	X	1				    000		2	2						X	X				TTB								194J-(INV) PROFESIONAL CHARGES
	500	IN	81	    000	0			01	1	2	X	2		X		    000		2	2					0	X	X				TTB								194J-(ADV) PROFESIONAL CHARGES
	500	IN	82	    000	0			01		2	X	1		X		    000		2	2					0	X	X				TTB								194E- Non Residents(Non-Corp)sports
	500	IN	83	    000	0			01		2	X	1		X		    000		2	2					0	X	X				TTB								194E- Non Residents(Corp)sports
	500	IN	84	    108	0			01		1	X	1				    000		2	2						X	X				TTB								194J-(INV) PROFESIONAL CHARGES
