02.09.26 Dynamic List Display                                                  1

Table: T059U

	MANDT	SPRAS	LAND1	WITHT	TEXT40
	500	EN	IN	CH	194C-Adv-Advtg Contract(Non-Corp)
	500	EN	IN	D1	195-Inv-Non Residents(Corp)-Sec 44D
	500	EN	IN	D2	195-Inv-Non Residents(Non-Corp)-Sec 44D
	500	EN	IN	DA	195-Adv-Non Residents(Corp)-Sec 44D
	500	EN	IN	DB	195-Adv-Non Residents(Non-Corp)-Sec 44D
	500	EN	IN	EA	194A-Adv-Other Interest(Corp)-EDU CESS
	500	EN	IN	EB	195-Adv-Non Res(N-Corp)-Sec 44 BB-E CESS
	500	EN	IN	EC	194C-Adv-Sub-Contractors(Corp)-EDU CESS
	500	EN	IN	EE	195-Adv-Non Res(Corp)-Sec 44BB-EDU CESS
	500	EN	IN	FC	194C-Adv-Contractors(Non-Corp)-EDU CESS
	500	EN	IN	GC	194C-Adv-Sub-Cont(Non-Corp)-EDU CESS
	500	EN	IN	H1	194H-Inv-Commn / Brokerage (Corp)
	500	EN	IN	H2	194H-Inv-Commn / Brokerage (Non-Corp)
	500	EN	IN	HA	194H-Adv-Commn / Brokerage (Corp)
	500	EN	IN	HB	194H-Adv-Commn / Brokerage (Non-Corp)
	500	EN	IN	HC	194C-Adv-Advtg Contract(N-Corp)-EDU CESS
	500	EN	IN	I1	194I-Inv-Rent(Corp)
	500	EN	IN	I2	194I-Inv-Rent(Non-Corp)
	500	EN	IN	IA	194I-Adv-Rent(Corp)
	500	EN	IN	IB	194I-Adv-Rent(Non-Corp)
	500	EN	IN	IG	IN:TDS ON IGST (INV)
	500	EN	IN	J1	194J-Inv-Professionals(Corp)
	500	EN	IN	J2	194J-Inv-Professionals(Non-Corp)
	500	EN	IN	JA	194J-Adv-Professionals(Corp)
	500	EN	IN	JB	194J-Adv-Professionals(Non-Corp)
	500	EN	IN	LD	IN:Liquidated Damages
	500	EN	IN	SG	IN:TDS ON  SGST/UGST (INV)
	500	EN	IN	SN	Seigniorage Charges
	500	EN	IN	ST	Service Tax
	500	EN	IN	TG	TESTING FOR NEW TAX CODE CREATION
	500	EN	IN	TS	Edu cess on service tax
	500	EN	IN	W0	WCT - FOR ASSAM
	500	EN	IN	W1	WCT-GUJARAT
	500	EN	IN	W2	WCT - Andhra Pradesh
	500	EN	IN	W3	WCT FOR TAMILNADU
	500	EN	IN	W4	WCT - West Bengal
	500	EN	IN	W5	WCT - Maharashtra
	500	EN	IN	W6	WCT -Uttaranchal
	500	EN	IN	W7	WCT - Tripura
	500	EN	IN	W8	WCT - Delhi
	500	EN	IN	W9	TDS SALES TAFX  FOR - RAJASTHAN
	500	EN	IN	WA	AGST  - FOR  ASSAM
	500	EN	IN	WB	 ADV WORK CONT. TAX-BARODA
	500	EN	IN	WC	WCT for Govt of Puducherry
	500	EN	IN	WE	WCT - FOR ASSAM
	500	EN	IN	WF	WCT - FOR MIZORAM
	500	EN	IN	WG	WCT  - FOR  GOA
	500	EN	IN	WH	AGST  - FOR  Himachal pradesh
	500	EN	IN	WJ	 ADV WORK CONT. TAMIL NADU
	500	EN	IN	WK	WCT - JHARKHAND
	500	EN	IN	WL	WCT  - FOR  ORRISA
	500	EN	IN	WM	WCT - Madhya Pradesh
	500	EN	IN	WP	AGST  - FOR  Punjab
	500	EN	IN	WR	WCT  - FOR   RAJASTHAN
	500	EN	IN	WS	 ADV WORK CONT.  TAX- ASSAM
	500	EN	IN	WT	 ADV WORK CONT. TAX-TRIPURA
	500	EN	IN	WU	WCT  - FOR  Uttar pradesh
	500	EN	IN	ZC	TDS ON CGST (ADV)
	500	EN	IN	ZI	TDS ON IGST (ADV)
	500	EN	IN	ZS	TDS ON SGST/UGST (ADV)
